,# of features removed,AOPC-global,sorts
10,10,0.0558036262778145,normal
11,11,0.0572403769519893,normal
12,12,0.058529146340378,normal
13,13,0.0597023695303183,normal
14,14,0.060769016066492,normal
15,15,0.0617628702910216,normal
16,16,0.0626700093112132,normal
17,17,0.0635140708122341,normal
18,18,0.064328861590902,normal
19,19,0.0651679078833538,normal
20,20,0.0659739479831236,normal
21,21,0.0667272887911887,normal
22,22,0.067471513530349,normal
23,23,0.0681900989965235,normal
24,24,0.0688661138065174,normal
25,25,0.0695421241270236,normal
26,26,0.0704495567602844,normal
27,27,0.071308645086665,normal
28,28,0.072137585801971,normal
29,29,0.0729287208665908,normal
30,30,0.0737574965675656,normal
0,0,0.0,reverse
1,1,-0.0017081667982096,reverse
2,2,-0.0030151859740125,reverse
3,3,-0.0050593435273605,reverse
4,4,-0.006995388602451,reverse
5,5,-0.0087921086895445,reverse
6,6,-0.0099573501060155,reverse
7,7,-0.0117818352251082,reverse
8,8,-0.0135803260430264,reverse
9,9,-0.0151850688146593,reverse
10,10,-0.0166902635568929,reverse
11,11,-0.0179819014854974,reverse
12,12,-0.0191490294537364,reverse
13,13,-0.0202282387915066,reverse
14,14,-0.0213618686858979,reverse
15,15,-0.0224361813498061,reverse
16,16,-0.0234072591253128,reverse
17,17,-0.0243081937220352,reverse
18,18,-0.025180584231955,reverse
19,19,-0.0260325220097655,reverse
20,20,-0.0268247053174155,reverse
21,21,-0.0275474839423043,reverse
22,22,-0.0282109109176232,reverse
23,23,-0.0288430029528256,reverse
24,24,-0.0294777113121383,reverse
25,25,-0.0300303730568448,reverse
26,26,-0.0305789194862389,reverse
27,27,-0.0311530089476288,reverse
28,28,-0.0317007131996266,reverse
29,29,-0.032228161377992,reverse
30,30,-0.0327244335639819,reverse
