,# of features removed,AOPC-global,optimization
7,7,0.039980936629358935,masking-0.1
8,8,0.043786015979799094,masking-0.1
9,9,0.04739057116317716,masking-0.1
10,10,0.05050138338073798,masking-0.1
11,11,0.053230670345582064,masking-0.1
12,12,0.055680755940021746,masking-0.1
13,13,0.05787039399338656,masking-0.1
14,14,0.05998092607688463,masking-0.1
15,15,0.061912813942040866,masking-0.1
16,16,0.06369182457233138,masking-0.1
17,17,0.0653672710778288,masking-0.1
18,18,0.06694116068443891,masking-0.1
19,19,0.06855144751478723,masking-0.1
20,20,0.0700547144262269,masking-0.1
21,21,0.0715279517080363,masking-0.1
22,22,0.07291256815171686,masking-0.1
23,23,0.0742184604036863,masking-0.1
24,24,0.0755681559209386,masking-0.1
25,25,0.07687357212423926,masking-0.1
26,26,0.07814473524705683,masking-0.1
27,27,0.07935159222523747,masking-0.1
28,28,0.08049160512644571,masking-0.1
29,29,0.08157940331916284,masking-0.1
30,30,0.0826665365226425,masking-0.1
0,0,0.0,topk-masking-0.1
1,1,0.009230342653239257,topk-masking-0.1
2,2,0.01589328011634442,topk-masking-0.1
3,3,0.021080466729179848,topk-masking-0.1
4,4,0.02684110852847992,topk-masking-0.1
5,5,0.03175075210708192,topk-masking-0.1
6,6,0.03547192623811195,topk-masking-0.1
7,7,0.039980936629358935,topk-masking-0.1
8,8,0.043786015979799094,topk-masking-0.1
9,9,0.04702201672335675,topk-masking-0.1
10,10,0.05016633388999215,topk-masking-0.1
11,11,0.052923541645731716,topk-masking-0.1
12,12,0.05539725252477527,topk-masking-0.1
13,13,0.05760714082208627,topk-masking-0.1
14,14,0.05960670344613738,topk-masking-0.1
15,15,0.06144149303427754,topk-masking-0.1
16,16,0.06324822842384827,topk-masking-0.1
17,17,0.06493317721080757,topk-masking-0.1
18,18,0.06652991386305038,topk-masking-0.1
19,19,0.06801491756256164,topk-masking-0.1
20,20,0.06943014332487418,topk-masking-0.1
21,21,0.07079051881920134,topk-masking-0.1
22,22,0.07218766763013684,topk-masking-0.1
23,23,0.0735381764864885,topk-masking-0.1
24,24,0.07481578715488482,topk-masking-0.1
25,25,0.07618073989246775,topk-masking-0.1
26,26,0.07746209946882948,topk-masking-0.1
27,27,0.07867842458244398,topk-masking-0.1
28,28,0.07984165016098993,topk-masking-0.1
29,29,0.08097013478008125,topk-masking-0.1
30,30,0.08213958456478053,topk-masking-0.1
0,0,0.0,topk-masking-0.5
1,1,0.009230342653239257,topk-masking-0.5
