,time (minutes),percents,optimization
2,0.3739772311929,0.65,masking-0.5
3,0.49863630825719996,0.75,masking-0.5
4,0.6232953853215,0.7,masking-0.5
5,0.7479544623858,0.75,masking-0.5
6,0.8726135394501,0.8,masking-0.5
7,0.9972726165143999,0.8,masking-0.5
8,1.1219316935786998,0.85,masking-0.5
9,1.246590770643,0.8,masking-0.5
10,1.3712498477072999,0.8,masking-0.5
11,1.4959089247716,0.8,masking-0.5
12,1.6205680018358999,0.8,masking-0.5
13,1.7452270789002,0.8,masking-0.5
14,1.8698861559645,0.8,masking-0.5
15,1.9945452330287998,0.8,masking-0.5
16,2.1192043100931,0.75,masking-0.5
17,2.2438633871573996,0.75,masking-0.5
18,2.3685224642216998,0.75,masking-0.5
19,2.493181541286,0.8,masking-0.5
0,0.22091626804322856,0.6,topk-desired-masking-0.1
1,0.4418325360864571,0.65,topk-desired-masking-0.1
2,0.6627488041296857,0.7,topk-desired-masking-0.1
3,0.8836650721729142,0.7,topk-desired-masking-0.1
4,1.1045813402161428,0.75,topk-desired-masking-0.1
5,1.3254976082593715,0.8,topk-desired-masking-0.1
6,1.5464138763026,0.85,topk-desired-masking-0.1
7,1.7673301443458285,0.9,topk-desired-masking-0.1
8,1.988246412389057,0.9,topk-desired-masking-0.1
9,2.2091626804322857,0.9,topk-desired-masking-0.1
10,2.430078948475514,0.9,topk-desired-masking-0.1
11,2.650995216518743,0.9,topk-desired-masking-0.1
12,2.8719114845619713,0.9,topk-desired-masking-0.1
13,3.0928277526052,0.9,topk-desired-masking-0.1
14,3.3137440206484285,0.85,topk-desired-masking-0.1
15,3.534660288691657,0.85,topk-desired-masking-0.1
16,3.7555765567348858,0.9,topk-desired-masking-0.1
17,3.976492824778114,0.9,topk-desired-masking-0.1
18,4.197409092821343,0.85,topk-desired-masking-0.1
19,4.418325360864571,0.85,topk-desired-masking-0.1
0,0.12012565626964287,0.6,topk-desired-masking-0.5
1,0.24025131253928575,0.65,topk-desired-masking-0.5
2,0.3603769688089286,0.7,topk-desired-masking-0.5
3,0.4805026250785715,0.7,topk-desired-masking-0.5
4,0.6006282813482143,0.7,topk-desired-masking-0.5
5,0.7207539376178572,0.7,topk-desired-masking-0.5
6,0.8408795938875001,0.85,topk-desired-masking-0.5
7,0.961005250157143,0.85,topk-desired-masking-0.5
8,1.0811309064267858,0.85,topk-desired-masking-0.5
9,1.2012565626964287,0.85,topk-desired-masking-0.5
10,1.3213822189660716,0.8,topk-desired-masking-0.5
11,1.4415078752357144,0.8,topk-desired-masking-0.5
12,1.5616335315053573,0.8,topk-desired-masking-0.5
13,1.6817591877750002,0.8,topk-desired-masking-0.5
14,1.801884844044643,0.85,topk-desired-masking-0.5
15,1.922010500314286,0.85,topk-desired-masking-0.5
16,2.0421361565839287,0.85,topk-desired-masking-0.5
17,2.1622618128535716,0.85,topk-desired-masking-0.5
