,# of features removed,AOPC-global,optimization
9,9,0.012902610616111462,desired-0.5
10,10,0.013830026629446773,desired-0.5
11,11,0.014753599647870782,desired-0.5
12,12,0.015627182383987408,desired-0.5
13,13,0.01647923156678977,desired-0.5
14,14,0.017403247022568215,desired-0.5
15,15,0.018296588383085687,desired-0.5
16,16,0.01924342333672684,desired-0.5
17,17,0.020248744564737898,desired-0.5
18,18,0.021222422835720695,desired-0.5
19,19,0.022125944427085903,desired-0.5
20,20,0.022946929667361234,desired-0.5
21,21,0.023734174689642465,desired-0.5
22,22,0.024557649615568625,desired-0.5
23,23,0.025328474461889183,desired-0.5
24,24,0.025932035041023135,desired-0.5
25,25,0.02650437285338727,desired-0.5
26,26,0.02710059572382953,desired-0.5
27,27,0.027686272736903966,desired-0.5
28,28,0.02827022529831624,desired-0.5
29,29,0.028846665726445498,desired-0.5
30,30,0.02946871407058132,desired-0.5
0,0,0.0,masking-0.1
1,1,0.002164595688530681,masking-0.1
2,2,0.004221398250131201,masking-0.1
3,3,0.006250268770098546,masking-0.1
4,4,0.007879222159058431,masking-0.1
5,5,0.009066256969771475,masking-0.1
6,6,0.010286978218846055,masking-0.1
7,7,0.011400632382420301,masking-0.1
8,8,0.012334896156962157,masking-0.1
9,9,0.013299178442800754,masking-0.1
10,10,0.014334302920856025,masking-0.1
11,11,0.015416085921764985,masking-0.1
12,12,0.01645895206568741,masking-0.1
13,13,0.017453659893137054,masking-0.1
14,14,0.018403119703227794,masking-0.1
15,15,0.0193481404824588,masking-0.1
16,16,0.02032258162284051,masking-0.1
17,17,0.021198113566502415,masking-0.1
18,18,0.022052210559815183,masking-0.1
19,19,0.02286837079375347,masking-0.1
20,20,0.023710679499331446,masking-0.1
21,21,0.024616736774818723,masking-0.1
22,22,0.025480779851107815,masking-0.1
23,23,0.026317483432449242,masking-0.1
24,24,0.027145929431702652,masking-0.1
25,25,0.02795711082683739,masking-0.1
26,26,0.028762243571968202,masking-0.1
27,27,0.029530962062212222,masking-0.1
28,28,0.030266416413995686,masking-0.1
29,29,0.03099230178325637,masking-0.1
30,30,0.03169093958053781,masking-0.1
0,0,0.0,masking-0.5
1,1,0.002164595688530681,masking-0.5
2,2,0.0039973000349695425,masking-0.5
3,3,0.005396997671777667,masking-0.5
4,4,0.007196605280401729,masking-0.5
5,5,0.00849740957089089,masking-0.5
6,6,0.009799394734091266,masking-0.5
7,7,0.010965827984025626,masking-0.5
8,8,0.01204988839517516,masking-0.5
9,9,0.013177083708153164,masking-0.5
10,10,0.01418752128648127,masking-0.5
11,11,0.015141752484208298,masking-0.5
12,12,0.016047460385952776,masking-0.5
13,13,0.01702724797307778,masking-0.5
14,14,0.01795688380688635,masking-0.5
15,15,0.01881562286838394,masking-0.5
16,16,0.01973192638171343,masking-0.5
17,17,0.020550287473879977,masking-0.5
18,18,0.02143775410219527,masking-0.5
19,19,0.022109802861961642,masking-0.5
20,20,0.022758805336894422,masking-0.5
21,21,0.02345458565943256,masking-0.5
22,22,0.02416615171268809,masking-0.5
23,23,0.024885450472435063,masking-0.5
24,24,0.02556222410283817,masking-0.5
25,25,0.026223967059246976,masking-0.5
26,26,0.02685687527719747,masking-0.5
27,27,0.027555506352045823,masking-0.5
28,28,0.028285654545052254,masking-0.5
29,29,0.02897510488915737,masking-0.5
30,30,0.029706629989659672,masking-0.5
0,0,0.0,topk-desired-masking-0.1
1,1,0.002164595688530681,topk-desired-masking-0.1
2,2,0.0039973000349695425,topk-desired-masking-0.1
3,3,0.006082195108727303,topk-desired-masking-0.1
4,4,0.007891743711072522,topk-desired-masking-0.1
5,5,0.009162751784507924,topk-desired-masking-0.1
6,6,0.010369688060048723,topk-desired-masking-0.1
7,7,0.011580989477384809,topk-desired-masking-0.1
8,8,0.012811655501872875,topk-desired-masking-0.1
9,9,0.013968633620080079,topk-desired-masking-0.1
10,10,0.014969965236549225,topk-desired-masking-0.1
11,11,0.01599877637781708,topk-desired-masking-0.1
12,12,0.016982877068392625,topk-desired-masking-0.1
13,13,0.017886775133457832,topk-desired-masking-0.1
14,14,0.018788246780556975,topk-desired-masking-0.1
15,15,0.01971987910496773,topk-desired-masking-0.1
16,16,0.020553851377567656,topk-desired-masking-0.1
17,17,0.021337858310627483,topk-desired-masking-0.1
18,18,0.022133093842366183,topk-desired-masking-0.1
19,19,0.022926614941558423,topk-desired-masking-0.1
20,20,0.023690684646281896,topk-desired-masking-0.1
21,21,0.024484073839285282,topk-desired-masking-0.1
22,22,0.02521911416461805,topk-desired-masking-0.1
23,23,0.02590946165634293,topk-desired-masking-0.1
24,24,0.02655637071720489,topk-desired-masking-0.1
25,25,0.027202919912906746,topk-desired-masking-0.1
26,26,0.0278524835886967,topk-desired-masking-0.1
27,27,0.02849018724780391,topk-desired-masking-0.1
28,28,0.02919854208188488,topk-desired-masking-0.1
29,29,0.029877787003474,topk-desired-masking-0.1
30,30,0.03052262050985084,topk-desired-masking-0.1
0,0,0.0,topk-desired-masking-0.5
1,1,0.002164595688530681,topk-desired-masking-0.5
2,2,0.0035319800509123304,topk-desired-masking-0.5
3,3,0.005048007683734758,topk-desired-masking-0.5
4,4,0.0069174132899674015,topk-desired-masking-0.5
5,5,0.008632711191547468,topk-desired-masking-0.5
6,6,0.009915367551796906,topk-desired-masking-0.5
7,7,0.011023027425709446,topk-desired-masking-0.5
8,8,0.012027500710280626,topk-desired-masking-0.5
9,9,0.012930272935268602,topk-desired-masking-0.5
10,10,0.013913477160178267,topk-desired-masking-0.5
11,11,0.014871843419737884,topk-desired-masking-0.5
12,12,0.015812880590170487,topk-desired-masking-0.5
13,13,0.01682357863803832,topk-desired-masking-0.5
14,14,0.017766792427516182,topk-desired-masking-0.5
15,15,0.01863741220022441,topk-desired-masking-0.5
16,16,0.01943719384598677,topk-desired-masking-0.5
17,17,0.020318093500539824,topk-desired-masking-0.5
18,18,0.02118043335731654,topk-desired-masking-0.5
19,19,0.02196000683246601,topk-desired-masking-0.5
20,20,0.022550110278816565,topk-desired-masking-0.5
21,21,0.023215558982174925,topk-desired-masking-0.5
22,22,0.02392430234735478,topk-desired-masking-0.5
23,23,0.024595948205055396,topk-desired-masking-0.5
24,24,0.025223389695112074,topk-desired-masking-0.5
25,25,0.025818308045604674,topk-desired-masking-0.5
26,26,0.02638019421205425,topk-desired-masking-0.5
27,27,0.026941205387622513,topk-desired-masking-0.5
28,28,0.027525983111623346,topk-desired-masking-0.5
29,29,0.028076887578423384,topk-desired-masking-0.5
30,30,0.02862317939879606,topk-desired-masking-0.5
