,# of features removed,AOPC-global,alpha
5,5,0.03175075210708192,0.95
6,6,0.03547192623811195,0.95
7,7,0.038535089855778956,0.95
8,8,0.042500818847728,0.95
9,9,0.04582578999615965,0.95
10,10,0.04870779497590907,0.95
11,11,0.051576754445401884,0.95
12,12,0.05409982921137361,0.95
13,13,0.056356592401368096,0.95
14,14,0.05852471018831827,0.95
15,15,0.060546548081160924,0.95
16,16,0.062386905792512486,0.95
17,17,0.06409400053137257,0.95
18,18,0.06569620697835982,0.95
19,19,0.06716843209563611,0.95
20,20,0.06856257932951515,0.95
21,21,0.0699100373909831,0.95
22,22,0.07136878550482777,0.95
23,23,0.07272616422938942,0.95
24,24,0.07412939385658088,0.95
25,25,0.07549745371969901,0.95
26,26,0.07685148371517084,0.95
27,27,0.07815305660595025,0.95
28,28,0.07939659155371123,0.95
29,29,0.08057712336715345,0.95
30,30,0.08172520081264162,0.95
