,# of features removed,AOPC-global,aggregation
5,5,0.00022313974392511231,avg
6,6,0.00026816135130336763,avg
7,7,0.00030329680539383815,avg
8,8,0.00033084464991102474,avg
9,9,0.00035391533794966934,avg
10,10,0.00037821093140489296,avg
11,11,0.00041910029223454553,avg
12,12,0.00045369898216732847,avg
13,13,0.00048441828400910776,avg
14,14,0.0005112108400154006,avg
15,15,0.0005347701207845302,avg
16,16,0.000570325732462359,avg
17,17,0.0006024900982199342,avg
18,18,0.0006319990011588564,avg
19,19,0.0006589124264061078,avg
20,20,0.0006835055516973695,avg
21,21,0.0007059031904831161,avg
22,22,0.0007263918129616426,avg
23,23,0.0007452765846424127,avg
24,24,0.000762647080313014,avg
25,25,0.000778778390457546,avg
26,26,0.0007965683826003521,avg
27,27,0.000813087981720996,avg
28,28,0.0008284457344712619,avg
29,29,0.0008429003090530446,avg
30,30,0.0008564228316139012,avg
0,0,0.0,avg_2e-3
1,1,0.00044180818787347597,avg_2e-3
2,2,0.0011534823575253873,avg_2e-3
3,3,0.0016260769508351243,avg_2e-3
4,4,0.0020129964933129725,avg_2e-3
5,5,0.0022727323779672165,avg_2e-3
6,6,0.00287241113231386,avg_2e-3
7,7,0.0033833970501198265,avg_2e-3
8,8,0.003978039897207881,avg_2e-3
9,9,0.00490166021356356,avg_2e-3
10,10,0.005871306991039909,avg_2e-3
11,11,0.0067188719461619235,avg_2e-3
12,12,0.007446139369674898,avg_2e-3
13,13,0.008137146593515889,avg_2e-3
14,14,0.0087659009094658,avg_2e-3
15,15,0.009318943363936027,avg_2e-3
16,16,0.009859925257683942,avg_2e-3
17,17,0.010371468521756496,avg_2e-3
18,18,0.010864485120415553,avg_2e-3
19,19,0.011363790622481364,avg_2e-3
20,20,0.01184397986312373,avg_2e-3
21,21,0.012300629079763242,avg_2e-3
22,22,0.012730979749218663,avg_2e-3
23,23,0.013158303103641343,avg_2e-3
24,24,0.013575986981976429,avg_2e-3
25,25,0.014206115815754455,avg_2e-3
26,26,0.014799069166784308,avg_2e-3
27,27,0.015381529327638702,avg_2e-3
28,28,0.01598050143927806,avg_2e-3
29,29,0.01656986218983911,avg_2e-3
30,30,0.017127587258760495,avg_2e-3
0,0,0.0,avg_3e-3
1,1,0.00044180818787347597,avg_3e-3
2,2,0.0011534823575253873,avg_3e-3
3,3,0.002233580627381768,avg_3e-3
4,4,0.003236616429125741,avg_3e-3
5,5,0.0046511822561377805,avg_3e-3
6,6,0.005987374456765,avg_3e-3
7,7,0.007005806002107244,avg_3e-3
8,8,0.007847721740630744,avg_3e-3
9,9,0.008593139691556836,avg_3e-3
10,10,0.00925317788232364,avg_3e-3
11,11,0.009895364506136092,avg_3e-3
12,12,0.010472803879684817,avg_3e-3
13,13,0.011011586871702629,avg_3e-3
14,14,0.011902068961046031,avg_3e-3
15,15,0.012697272531413818,avg_3e-3
16,16,0.013451071877136664,avg_3e-3
17,17,0.014205804572128713,avg_3e-3
18,18,0.014928957183807524,avg_3e-3
19,19,0.015589655003621073,avg_3e-3
20,20,0.016225120222929715,avg_3e-3
21,21,0.01680205906147121,avg_3e-3
22,22,0.01734312973662573,avg_3e-3
23,23,0.017851753675016,avg_3e-3
24,24,0.018368048955225227,avg_3e-3
25,25,0.018978296452622088,avg_3e-3
26,26,0.01961263075637489,avg_3e-3
27,27,0.020297036264300107,avg_3e-3
28,28,0.021010222627472104,avg_3e-3
29,29,0.02168886489047788,avg_3e-3
30,30,0.022330446367541838,avg_3e-3
0,0,0.0,avg_4e-3
1,1,0.00044180818787347597,avg_4e-3
2,2,0.0011534823575253873,avg_4e-3
3,3,0.002233580627381768,avg_4e-3
4,4,0.003236616429125741,avg_4e-3
5,5,0.0046511822561377805,avg_4e-3
6,6,0.005987374456765,avg_4e-3
7,7,0.007005806002107244,avg_4e-3
8,8,0.007877792048603758,avg_4e-3
9,9,0.008630546739810974,avg_4e-3
10,10,0.009346906677404643,avg_4e-3
11,11,0.009980761541582409,avg_4e-3
12,12,0.010993156840697876,avg_4e-3
13,13,0.011924253870951447,avg_4e-3
14,14,0.012831576446804395,avg_4e-3
15,15,0.013639359868707632,avg_4e-3
16,16,0.0143986227099452,avg_4e-3
17,17,0.015140425556933908,avg_4e-3
18,18,0.01598481147697097,avg_4e-3
19,19,0.016837690503181884,avg_4e-3
20,20,0.01773576861883883,avg_4e-3
21,21,0.018652198668813357,avg_4e-3
22,22,0.01949670339018122,avg_4e-3
23,23,0.020352346852302364,avg_4e-3
24,24,0.021203727734832683,avg_4e-3
25,25,0.02202151084666002,avg_4e-3
26,26,0.022905745657138404,avg_4e-3
27,27,0.023832889066554206,avg_4e-3
28,28,0.02471533741785034,avg_4e-3
29,29,0.025583204197996836,avg_4e-3
30,30,0.026460435667745526,avg_4e-3
