,# of features removed,AOPC-global,percent
5,5,0.005026949101250043,50
6,6,0.005818928262230587,50
7,7,0.006565484355018932,50
8,8,0.007151732477007711,50
9,9,0.007683774439764394,50
10,10,0.008326952475023673,50
11,11,0.0090702154886385,50
12,12,0.009877911732725302,50
13,13,0.010724430063724302,50
14,14,0.011614235459783604,50
15,15,0.012436957459444498,50
16,16,0.013214931205606018,50
17,17,0.013915418604335518,50
18,18,0.01458153313887327,50
19,19,0.015212639555526328,50
20,20,0.01582406653961034,50
21,21,0.016381229012035866,50
22,22,0.017061817920626103,50
23,23,0.017726818732366065,50
24,24,0.01835695071634262,50
25,25,0.018975797523179048,50
26,26,0.01956188329914536,50
27,27,0.020123160365101356,50
28,28,0.020735754468712717,50
29,29,0.02131906206544854,50
30,30,0.021864793533070283,50
0,0,0.0,75
1,1,0.001466492161035059,75
2,2,0.0020470152347054574,75
3,3,0.003257131903302469,75
4,4,0.004212678890895447,75
5,5,0.005094913800429929,75
6,6,0.0058771837186704905,75
7,7,0.006616457879403847,75
8,8,0.007261468578694488,75
9,9,0.008011196122669876,75
10,10,0.008629209379700188,75
11,11,0.009338131747727718,75
12,12,0.010107741345383836,75
13,13,0.011030372496000931,75
14,14,0.011818838519393134,75
15,15,0.012685130751433682,75
16,16,0.013503144411992171,75
17,17,0.014350206649429965,75
18,18,0.015116893624175997,75
19,19,0.01585030372185623,75
20,20,0.016548301606966936,75
21,21,0.017224874823480334,75
22,22,0.01786227363802859,75
23,23,0.0185069183107992,75
24,24,0.019129907024860792,75
25,25,0.019727651877341493,75
26,26,0.020282194693034047,75
27,27,0.020832993104655757,75
28,28,0.021379842091088862,75
29,29,0.021922462790503423,75
30,30,0.022441678291614045,75
0,0,0.0,100
1,1,0.001466492161035059,100
2,2,0.0020470152347054574,100
3,3,0.003257131903302469,100
4,4,0.004212678890895447,100
5,5,0.005423576684145381,100
6,6,0.006498800193709718,100
7,7,0.007438307185884409,100
8,8,0.008304654154956223,100
9,9,0.009060749447061903,100
10,10,0.009890952574854998,100
11,11,0.010797274476004494,100
12,12,0.011568054387096753,100
13,13,0.012386377463305783,100
14,14,0.013084443155544329,100
15,15,0.013871635097825429,100
16,16,0.014619854385066758,100
17,17,0.015404877179555961,100
18,18,0.016116055179032206,100
19,19,0.016799507198969627,100
20,20,0.017452304918503508,100
21,21,0.018087787075401603,100
22,22,0.018687667965953284,100
23,23,0.019297921208393697,100
24,24,0.01988926980655151,100
25,25,0.020457808398197955,100
26,26,0.020984697535715417,100
27,27,0.02147498887874056,100
28,28,0.021966096071122647,100
29,29,0.022457364900438388,100
30,30,0.02294812765567924,100
