,# of features removed,AOPC-global,aggregation
6,6,0.028667312100437593,Gsq
7,7,0.03200122699154489,Gsq
8,8,0.035079177260376015,Gsq
9,9,0.03824508067659873,Gsq
10,10,0.041106233176004134,Gsq
11,11,0.04372005974161406,Gsq
12,12,0.0460516751605751,Gsq
13,13,0.04830555508284807,Gsq
14,14,0.050418964082566346,Gsq
15,15,0.05225449473701864,Gsq
16,16,0.053915660222800546,Gsq
17,17,0.0554406188344858,Gsq
18,18,0.056907378579254854,Gsq
19,19,0.05825803057691078,Gsq
20,20,0.059552930822616104,Gsq
21,21,0.06083615682377062,Gsq
22,22,0.06220689415905199,Gsq
23,23,0.06348035937546244,Gsq
24,24,0.06468270238576904,Gsq
25,25,0.06579539375160114,Gsq
26,26,0.06692898886112146,Gsq
27,27,0.06797924871893506,Gsq
28,28,0.06897934092875856,Gsq
29,29,0.0699405614214484,Gsq
30,30,0.07089352221198345,Gsq
0,0,0.0,Gh
1,1,0.007563187336304273,Gh
2,2,0.013493872130227125,Gh
3,3,0.01755566074793568,Gh
4,4,0.02146587589475781,Gh
5,5,0.025390048927249925,Gh
6,6,0.028667312100437593,Gh
7,7,0.03200122699154489,Gh
8,8,0.035079177260376015,Gh
9,9,0.03824508067659873,Gh
10,10,0.041106233176004134,Gh
11,11,0.04372005974161406,Gh
12,12,0.0460516751605751,Gh
13,13,0.04830555508284807,Gh
14,14,0.050418964082566346,Gh
15,15,0.05225449473701864,Gh
16,16,0.053915660222800546,Gh
17,17,0.0554406188344858,Gh
18,18,0.056907378579254854,Gh
19,19,0.05825803057691078,Gh
20,20,0.059552930822616104,Gh
21,21,0.06083615682377062,Gh
22,22,0.062024884572304866,Gh
23,23,0.06314608832369416,Gh
24,24,0.06417987620983831,Gh
25,25,0.06513027690627785,Gh
26,26,0.06603215623413708,Gh
27,27,0.06689929924664689,Gh
28,28,0.06776072685648178,Gh
29,29,0.06857617726531662,Gh
30,30,0.06934672834814423,Gh
0,0,0.0,Gpr α=0.5
1,1,0.007563187336304273,Gpr α=0.5
2,2,0.013493872130227125,Gpr α=0.5
3,3,0.018236628088884915,Gpr α=0.5
4,4,0.02200994345756522,Gpr α=0.5
5,5,0.02584343856292277,Gpr α=0.5
6,6,0.029055931788157175,Gpr α=0.5
7,7,0.03200605862975246,Gpr α=0.5
8,8,0.03508347204989385,Gpr α=0.5
9,9,0.037831785229146556,Gpr α=0.5
10,10,0.04032474546932999,Gpr α=0.5
11,11,0.04300369601049609,Gpr α=0.5
12,12,0.04539041633185082,Gpr α=0.5
13,13,0.04760714998410525,Gpr α=0.5
14,14,0.049768239213710284,Gpr α=0.5
15,15,0.05170300090365791,Gpr α=0.5
16,16,0.05346160748652768,Gpr α=0.5
17,17,0.055011511158718406,Gpr α=0.5
18,18,0.056430682630190264,Gpr α=0.5
19,19,0.05778477068400243,Gpr α=0.5
20,20,0.05911658799482885,Gpr α=0.5
21,21,0.06035949238164472,Gpr α=0.5
22,22,0.06151335043916548,Gpr α=0.5
23,23,0.06259667524219426,Gpr α=0.5
24,24,0.06362516152138695,Gpr α=0.5
25,25,0.06458662000967041,Gpr α=0.5
26,26,0.06548522147044049,Gpr α=0.5
27,27,0.06635075627647788,Gpr α=0.5
28,28,0.06721158645001939,Gpr α=0.5
29,29,0.06802664924621635,Gpr α=0.5
30,30,0.06880117940876679,Gpr α=0.5
0,0,0.0,Gpr α=0.95
1,1,0.007563187336304273,Gpr α=0.95
2,2,0.013493872130227125,Gpr α=0.95
3,3,0.01755566074793568,Gpr α=0.95
4,4,0.02146587589475781,Gpr α=0.95
5,5,0.025390048927249925,Gpr α=0.95
6,6,0.028667312100437593,Gpr α=0.95
7,7,0.03200122699154489,Gpr α=0.95
8,8,0.035079177260376015,Gpr α=0.95
9,9,0.03824508067659873,Gpr α=0.95
10,10,0.041106233176004134,Gpr α=0.95
11,11,0.04372005974161406,Gpr α=0.95
12,12,0.0460516751605751,Gpr α=0.95
13,13,0.04822117603934922,Gpr α=0.95
14,14,0.05034133019860466,Gpr α=0.95
15,15,0.05218171297080455,Gpr α=0.95
16,16,0.053847159736952,Gpr α=0.95
17,17,0.05537592393118439,Gpr α=0.95
18,18,0.05677591578305278,Gpr α=0.95
19,19,0.05811274217922182,Gpr α=0.95
20,20,0.0594289417997997,Gpr α=0.95
21,21,0.060717803665627686,Gpr α=0.95
22,22,0.06209368679039353,Gpr α=0.95
23,23,0.06338694945810491,Gpr α=0.95
24,24,0.0645930288651058,Gpr α=0.95
25,25,0.06570916921250188,Gpr α=0.95
26,26,0.06684595782347033,Gpr α=0.95
27,27,0.06789918307548574,Gpr α=0.95
28,28,0.06890203616956612,Gpr α=0.95
29,29,0.06986583348756238,Gpr α=0.95
30,30,0.0707783577568983,Gpr α=0.95
0,0,0.0,Gav
1,1,3.506564659765653e-07,Gav
2,2,6.452827565788973e-06,Gav
3,3,9.411821904071163e-06,Gav
4,4,1.7682601595440572e-05,Gav
5,5,7.468987531215094e-05,Gav
6,6,0.00012644800444678258,Gav
7,7,0.00026524805834365287,Gav
8,8,0.0003979934096404213,Gav
9,9,0.0005780266897883277,Gav
10,10,0.0008727492252212965,Gav
11,11,0.0011207354235143218,Gav
12,12,0.0013328130544691679,Gav
13,13,0.002077814064459096,Gav
14,14,0.0027243549055259958,Gav
15,15,0.0033272746477471414,Gav
16,16,0.0038709416588119626,Gav
17,17,0.00435710378061698,Gav
18,18,0.004817277997525382,Gav
19,19,0.00523248130544929,Gav
20,20,0.005608849640714345,Gav
21,21,0.0059520990202920334,Gav
22,22,0.00626652530814144,Gav
23,23,0.006554829762343302,Gav
24,24,0.006935273950615253,Gav
25,25,0.007287341814438348,Gav
26,26,0.007624364338190758,Gav
27,27,0.007945669800604143,Gav
28,28,0.008244940309083593,Gav
29,29,0.00853706021299167,Gav
30,30,0.008811182423484002,Gav
0,0,0.0,Gav_4e-3
1,1,0.0003888481675594723,Gav_4e-3
2,2,0.0007110652401605156,Gav_4e-3
3,3,0.0012775858685689118,Gav_4e-3
4,4,0.0031841981044493928,Gav_4e-3
5,5,0.004554675855111805,Gav_4e-3
6,6,0.00560162376530795,Gav_4e-3
7,7,0.006742437756604446,Gav_4e-3
8,8,0.0076628177059126544,Gav_4e-3
9,9,0.00843753106213627,Gav_4e-3
10,10,0.009703903089630131,Gav_4e-3
11,11,0.010788547146269069,Gav_4e-3
12,12,0.011733070136659961,Gav_4e-3
13,13,0.013952484260347214,Gav_4e-3
14,14,0.016014768189715804,Gav_4e-3
15,15,0.01783022195140605,Gav_4e-3
16,16,0.01943999133224797,Gav_4e-3
17,17,0.020888838739313003,Gav_4e-3
18,18,0.022192664820331734,Gav_4e-3
19,19,0.023399301598765014,Gav_4e-3
20,20,0.024516409977730472,Gav_4e-3
21,21,0.025558852432504817,Gav_4e-3
22,22,0.02653337621720103,Gav_4e-3
23,23,0.027434836154210582,Gav_4e-3
24,24,0.02832104861637706,Gav_4e-3
25,25,0.029196892254460087,Gav_4e-3
26,26,0.030028247847879757,Gav_4e-3
27,27,0.030855023515460243,Gav_4e-3
28,28,0.03163285900273533,Gav_4e-3
29,29,0.03238268641498257,Gav_4e-3
30,30,0.03313245816534974,Gav_4e-3
0,0,0.0,reverse
1,1,-0.00024157051075468297,reverse
2,2,-0.000531579741864995,reverse
3,3,-0.0007859636197533452,reverse
4,4,-0.0006857858386895724,reverse
5,5,-0.0006352982557041412,reverse
6,6,-0.0006528414155426479,reverse
7,7,-0.000657657318287113,reverse
8,8,-0.0006695324752782753,reverse
9,9,-0.0007752285162691933,reverse
10,10,-0.00086627236262699,reverse
11,11,-0.000956121879131354,reverse
12,12,-0.0010342995129770472,reverse
13,13,-0.001118034203675761,reverse
14,14,-0.0012252083431902494,reverse
15,15,-0.0013196045320233787,reverse
16,16,-0.001409894222576473,reverse
17,17,-0.0014963119424845862,reverse
18,18,-0.0015750180237844773,reverse
19,19,-0.001646926553957546,reverse
20,20,-0.0017113088990065954,reverse
21,21,-0.0017711202559171843,reverse
22,22,-0.001818789401769449,reverse
23,23,-0.0018660031615351307,reverse
24,24,-0.001909060485647248,reverse
25,25,-0.0019680395914476287,reverse
26,26,-0.0020270390992002145,reverse
27,27,-0.0020902077106777733,reverse
28,28,-0.002142232406866227,reverse
29,29,-0.0021920225790095236,reverse
30,30,-0.002233590766876306,reverse
0,0,0.0,baseline
1,1,4.23549158433977e-05,baseline
2,2,0.000130842482588805,baseline
3,3,0.00017615679608298573,baseline
4,4,0.00020704034972441896,baseline
5,5,0.00023897319764084018,baseline
6,6,0.0002683892968628007,baseline
7,7,0.00029412835577871774,baseline
8,8,0.00031525914321164065,baseline
9,9,0.0003331857824864531,baseline
10,10,0.0003714475269647339,baseline
11,11,0.00042432810982847934,baseline
12,12,0.00046903560571132764,baseline
13,13,0.0005077888911559843,baseline
14,14,0.0005434785850290963,baseline
15,15,0.0005792224057744681,baseline
16,16,0.0006199692324479391,baseline
17,17,0.0006596794003300468,baseline
18,18,0.0006952596876828399,baseline
19,19,0.0007333373113821049,baseline
20,20,0.0007686617072250327,baseline
21,21,0.0008006359372286447,baseline
22,22,0.0008319968621031889,baseline
23,23,0.0008943055401931833,baseline
24,24,0.0009542136784912209,baseline
25,25,0.0010095562669637135,baseline
26,26,0.0010630745908375447,baseline
27,27,0.001124414242574987,baseline
28,28,0.0011843259545499733,baseline
29,29,0.0015180368259834667,baseline
30,30,0.0018575531519798418,baseline
0,0,0.0,Gsq
1,1,0.007563187336304273,Gsq
2,2,0.013493872130227125,Gsq
3,3,0.01755566074793568,Gsq
4,4,0.02146587589475781,Gsq
5,5,0.025390048927249925,Gsq
6,6,0.028667312100437593,Gsq
7,7,0.031666016402997835,Gsq
8,8,0.03478121229277863,Gsq
9,9,0.03797691220576108,Gsq
10,10,0.040862443657060814,Gsq
11,11,0.04349658601591602,Gsq
12,12,0.04584539172146922,Gsq
13,13,0.04802962713160804,Gsq
14,14,0.05016255121804623,Gsq
15,15,0.05201410767653102,Gsq
16,16,0.053689413577635736,Gsq
17,17,0.05528640557336823,Gsq
18,18,0.05676128180556452,Gsq
19,19,0.0581651736032822,Gsq
20,20,0.059469958464779746,Gsq
21,21,0.060683986873089776,Gsq
22,22,0.06189515189659044,Gsq
23,23,0.06303029251697906,Gsq
24,24,0.06426026463050631,Gsq
25,25,0.06542963469368179,Gsq
26,26,0.0665261742353773,Gsq
27,27,0.06754658664406522,Gsq
28,28,0.0685930635657432,Gsq
29,29,0.06959362693336459,Gsq
30,30,0.07054700987912778,Gsq
0,0,0.0,Gh
1,1,0.007563187336304273,Gh
2,2,0.013493872130227125,Gh
3,3,0.01755566074793568,Gh
4,4,0.02146587589475781,Gh
5,5,0.025390048927249925,Gh
6,6,0.028667312100437593,Gh
7,7,0.031666016402997835,Gh
8,8,0.03478121229277863,Gh
9,9,0.03797691220576108,Gh
10,10,0.040862443657060814,Gh
11,11,0.04349658601591602,Gh
12,12,0.04584539172146922,Gh
13,13,0.04802962713160804,Gh
14,14,0.05016255121804623,Gh
15,15,0.05201410767653102,Gh
16,16,0.053689413577635736,Gh
17,17,0.05528640557336823,Gh
18,18,0.05676128180556452,Gh
19,19,0.0581651736032822,Gh
20,20,0.059469958464779746,Gh
21,21,0.060683986873089776,Gh
22,22,0.06189515189659044,Gh
23,23,0.06303029251697906,Gh
24,24,0.06410995142396558,Gh
25,25,0.06512034289275215,Gh
26,26,0.06605754932557499,Gh
27,27,0.06695193194693583,Gh
28,28,0.06780112096398441,Gh
29,29,0.0686046250518945,Gh
30,30,0.0693640262805344,Gh
0,0,0.0,Gpr α=0.5
1,1,0.007563187336304273,Gpr α=0.5
2,2,0.013493872130227125,Gpr α=0.5
3,3,0.018236628088884915,Gpr α=0.5
4,4,0.02200994345756522,Gpr α=0.5
5,5,0.02584343856292277,Gpr α=0.5
6,6,0.029055931788157175,Gpr α=0.5
7,7,0.03200605862975246,Gpr α=0.5
8,8,0.03461042890332374,Gpr α=0.5
9,9,0.03740604639723345,Gpr α=0.5
10,10,0.0399377101675908,Gpr α=0.5
11,11,0.042648913650568505,Gpr α=0.5
12,12,0.045062924922686896,Gpr α=0.5
13,13,0.047303050818453034,Gpr α=0.5
14,14,0.049484413325768216,Gpr α=0.5
15,15,0.05143691413371222,Gpr α=0.5
16,16,0.05321117287951998,Gpr α=0.5
17,17,0.054774989585433344,Gpr α=0.5
18,18,0.05625531310163981,Gpr α=0.5
19,19,0.05762146267917763,Gpr α=0.5
20,20,0.05888666741565215,Gpr α=0.5
21,21,0.06006477978176164,Gpr α=0.5
22,22,0.06123913117515012,Gpr α=0.5
23,23,0.06235007104360779,Gpr α=0.5
24,24,0.06339968746145325,Gpr α=0.5
25,25,0.06438747757900352,Gpr α=0.5
