,# of features removed,AOPC-global,percent
7,7,0.06925198408410478,10
8,8,0.07593099986086975,10
9,9,0.08127421248228171,10
10,10,0.0856459318998006,10
11,11,0.08928903141439966,10
12,12,0.09237165408059887,10
13,13,0.0950139020801982,10
14,14,0.09730385034651762,10
15,15,0.09930755507954711,10
16,16,0.1010755298439849,10
17,17,0.1026470629679296,10
18,18,0.10405317155251169,10
19,19,0.10531866927863558,10
20,20,0.1064636434117953,10
21,21,0.10750452898739503,10
22,22,0.10845490277381216,10
23,23,0.10932607874469454,10
24,24,0.11012756063790632,10
25,25,0.11086739007779413,10
26,26,0.11155241733694951,10
27,27,0.11218851407759378,10
28,28,0.11278074207750396,10
29,29,0.11333348821075348,10
30,30,0.11385057330314818,10
