# of features removed,AOPC-global,percent
6,0.0185301065822402,50
7,0.0200269099449303,50
8,0.021652991482241,50
9,0.0236266608188427,50
10,0.0251706970373822,50
11,0.0270769173917702,50
12,0.029162131143025,50
13,0.0318713790795498,50
14,0.0355783685506559,50
15,0.0390309477340715,50
16,0.0427231709339054,50
17,0.0463829053225443,50
18,0.0498690261448497,50
19,0.0536125748373334,50
20,0.057051445913124,50
21,0.0603407702292893,50
22,0.0635899929960631,50
23,0.0668468624193056,50
24,0.0699420548341723,50
25,0.0727804813876299,50
26,0.07564636329807,50
27,0.0783844497581579,50
28,0.0810150428881777,50
29,0.083607242298029,50
30,0.0861419618012687,50
