,# of features removed,AOPC-global,optimization
26,26,0.08023995839407172,desired-0.1
27,27,0.08288413063501657,desired-0.1
28,28,0.08545842819487494,desired-0.1
29,29,0.08788166968184771,desired-0.1
30,30,0.09028260087423207,desired-0.1
0,0,0.0,masking-0.1
1,1,0.008676070735452906,masking-0.1
2,2,0.014152708931045185,masking-0.1
3,3,0.016851604649373537,masking-0.1
4,4,0.018276626025501373,masking-0.1
5,5,0.020126972108548538,masking-0.1
6,6,0.02147566237394266,masking-0.1
7,7,0.02277144442746295,masking-0.1
8,8,0.02444369661882039,masking-0.1
9,9,0.026138295441764204,masking-0.1
10,10,0.02889848434869945,masking-0.1
11,11,0.03111161522077771,masking-0.1
12,12,0.03422197441333412,masking-0.1
13,13,0.0372725821714208,masking-0.1
14,14,0.04017648932577001,masking-0.1
15,15,0.042985102634548376,masking-0.1
16,16,0.04616616772773083,masking-0.1
17,17,0.04942874365040674,masking-0.1
18,18,0.05286175405035487,masking-0.1
19,19,0.05657002171054132,masking-0.1
20,20,0.06013787798580479,masking-0.1
21,21,0.06360500882009984,masking-0.1
22,22,0.0669634006756544,masking-0.1
23,23,0.07022095072298457,masking-0.1
24,24,0.07335038119763033,masking-0.1
25,25,0.07628697776385093,masking-0.1
26,26,0.07907208710575846,masking-0.1
27,27,0.08187824508988571,masking-0.1
28,28,0.08465685170765089,masking-0.1
29,29,0.08730646592119615,masking-0.1
30,30,0.08980042964714162,masking-0.1
0,0,0.0,stop-words-masking-0.1
1,1,0.008676070735452906,stop-words-masking-0.1
2,2,0.01194386538727351,stop-words-masking-0.1
3,3,0.01519497199154478,stop-words-masking-0.1
4,4,0.016951319899238364,stop-words-masking-0.1
5,5,0.018048696251905524,stop-words-masking-0.1
6,6,0.019089741752061105,stop-words-masking-0.1
7,7,0.020516590718523624,stop-words-masking-0.1
8,8,0.021559963562724646,stop-words-masking-0.1
9,9,0.022921112172342138,stop-words-masking-0.1
10,10,0.024597233028509115,stop-words-masking-0.1
11,11,0.026500571277279953,stop-words-masking-0.1
12,12,0.02796849972576643,stop-words-masking-0.1
13,13,0.029943191376554462,stop-words-masking-0.1
14,14,0.031838277638646155,stop-words-masking-0.1
15,15,0.033625719301568845,stop-words-masking-0.1
16,16,0.035560498653140336,stop-words-masking-0.1
17,17,0.037207761388484833,stop-words-masking-0.1
18,18,0.03874219273392596,stop-words-masking-0.1
19,19,0.04012325313246218,stop-words-masking-0.1
20,20,0.04148439445219768,stop-words-masking-0.1
21,21,0.04272682750960965,stop-words-masking-0.1
22,22,0.04394690543452204,stop-words-masking-0.1
23,23,0.045135388036448704,stop-words-masking-0.1
24,24,0.046408849387086365,stop-words-masking-0.1
25,25,0.0478153801433721,stop-words-masking-0.1
26,26,0.04911299239995773,stop-words-masking-0.1
27,27,0.050312485843978606,stop-words-masking-0.1
28,28,0.051393285955081455,stop-words-masking-0.1
29,29,0.05244446039448288,stop-words-masking-0.1
30,30,0.05345444745838334,stop-words-masking-0.1
0,0,0.0,stop-words-0.5
1,1,0.008676070735452906,stop-words-0.5
2,2,0.01194386538727351,stop-words-0.5
3,3,0.01519497199154478,stop-words-0.5
4,4,0.016951319899238364,stop-words-0.5
5,5,0.018048696251905524,stop-words-0.5
6,6,0.019089741752061105,stop-words-0.5
7,7,0.020516590718523624,stop-words-0.5
8,8,0.021559963562724646,stop-words-0.5
9,9,0.022921112172342138,stop-words-0.5
10,10,0.02463792249829957,stop-words-0.5
11,11,0.026909896391328684,stop-words-0.5
12,12,0.029265510166652187,stop-words-0.5
13,13,0.031147558214519807,stop-words-0.5
14,14,0.03296235335408047,stop-words-0.5
15,15,0.03493027560325075,stop-words-0.5
16,16,0.03678831634884096,stop-words-0.5
17,17,0.03850383571810684,stop-words-0.5
18,18,0.040047553163450905,stop-words-0.5
19,19,0.041569691964881264,stop-words-0.5
20,20,0.04304295147413985,stop-words-0.5
21,21,0.04431803401096097,stop-words-0.5
22,22,0.04567697030672959,stop-words-0.5
23,23,0.04717380190678062,stop-words-0.5
24,24,0.04854429890670886,stop-words-0.5
25,25,0.04980445608816234,stop-words-0.5
26,26,0.051034670219061606,stop-words-0.5
27,27,0.05215932050631765,stop-words-0.5
28,28,0.053205466461712064,stop-words-0.5
29,29,0.05420814845628879,stop-words-0.5
30,30,0.05522861265786598,stop-words-0.5
0,0,0.0,stop-words-topk-0.5
1,1,0.008676070735452906,stop-words-topk-0.5
2,2,0.01194386538727351,stop-words-topk-0.5
3,3,0.01519497199154478,stop-words-topk-0.5
4,4,0.016951319899238364,stop-words-topk-0.5
5,5,0.018048696251905524,stop-words-topk-0.5
6,6,0.019089741752061105,stop-words-topk-0.5
7,7,0.020516590718523624,stop-words-topk-0.5
8,8,0.021559963562724646,stop-words-topk-0.5
9,9,0.022921112172342138,stop-words-topk-0.5
10,10,0.02463792249829957,stop-words-topk-0.5
11,11,0.026537869957921206,stop-words-topk-0.5
12,12,0.028002929277127588,stop-words-topk-0.5
13,13,0.029975161674246964,stop-words-topk-0.5
14,14,0.031868116583159155,stop-words-topk-0.5
15,15,0.03365369331204978,stop-words-topk-0.5
16,16,0.035586827133592985,stop-words-topk-0.5
17,17,0.03741232058579266,stop-words-topk-0.5
18,18,0.03918488623763166,stop-words-topk-0.5
19,19,0.0409975364525467,stop-words-topk-0.5
20,20,0.04292917711555902,stop-words-topk-0.5
21,21,0.04467847357882825,stop-words-topk-0.5
22,22,0.04621280455457189,stop-words-topk-0.5
23,23,0.047689153401382266,stop-words-topk-0.5
24,24,0.04909712921281633,stop-words-topk-0.5
25,25,0.05042087776156021,stop-words-topk-0.5
26,26,0.051651697674293624,stop-words-topk-0.5
27,27,0.0527826762558314,stop-words-topk-0.5
28,28,0.053910665264310625,stop-words-topk-0.5
29,29,0.05492865661584821,stop-words-topk-0.5
30,30,0.05593563777332149,stop-words-topk-0.5
0,0,0.0,stop-words-topk-masking-0.5
1,1,0.008676070735452906,stop-words-topk-masking-0.5
2,2,0.01194386538727351,stop-words-topk-masking-0.5
3,3,0.01519497199154478,stop-words-topk-masking-0.5
4,4,0.016951319899238364,stop-words-topk-masking-0.5
5,5,0.018048696251905524,stop-words-topk-masking-0.5
6,6,0.019089741752061105,stop-words-topk-masking-0.5
7,7,0.020516590718523624,stop-words-topk-masking-0.5
8,8,0.021559963562724646,stop-words-topk-masking-0.5
9,9,0.022921112172342138,stop-words-topk-masking-0.5
10,10,0.023840184541417123,stop-words-topk-masking-0.5
11,11,0.025122849647382452,stop-words-topk-masking-0.5
12,12,0.02697976179313732,stop-words-topk-masking-0.5
13,13,0.029025077581970288,stop-words-topk-masking-0.5
14,14,0.030935541861457482,stop-words-topk-masking-0.5
15,15,0.03277940451045446,stop-words-topk-masking-0.5
16,16,0.03441538957830707,stop-words-topk-masking-0.5
17,17,0.03611761821765621,stop-words-topk-masking-0.5
18,18,0.037647094729127105,stop-words-topk-masking-0.5
19,19,0.039120112446350525,stop-words-topk-masking-0.5
20,20,0.04038598854996853,stop-words-topk-masking-0.5
21,21,0.04181068470918512,stop-words-topk-masking-0.5
22,22,0.04315546262791093,stop-words-topk-masking-0.5
23,23,0.04463820718286097,stop-words-topk-masking-0.5
24,24,0.04599722096659624,stop-words-topk-masking-0.5
25,25,0.04726326594449935,stop-words-topk-masking-0.5
26,26,0.04843142862376845,stop-words-topk-masking-0.5
27,27,0.049512073964106784,stop-words-topk-masking-0.5
28,28,0.05052927822688772,stop-words-topk-masking-0.5
29,29,0.051546735563551195,stop-words-topk-masking-0.5
30,30,0.05255064091758584,stop-words-topk-masking-0.5
0,0,0.0,stop-words-topk-desired-masking-0.5
1,1,0.008676070735452906,stop-words-topk-desired-masking-0.5
2,2,0.01194386538727351,stop-words-topk-desired-masking-0.5
3,3,0.01519497199154478,stop-words-topk-desired-masking-0.5
4,4,0.016951319899238364,stop-words-topk-desired-masking-0.5
5,5,0.018048696251905524,stop-words-topk-desired-masking-0.5
6,6,0.01956957513112293,stop-words-topk-desired-masking-0.5
7,7,0.02093644492520272,stop-words-topk-desired-masking-0.5
8,8,0.02193316730199495,stop-words-topk-desired-masking-0.5
9,9,0.02255818888986858,stop-words-topk-desired-masking-0.5
10,10,0.023510254284622986,stop-words-topk-desired-masking-0.5
11,11,0.024878208986213336,stop-words-topk-desired-masking-0.5
12,12,0.026171510582156512,stop-words-topk-desired-masking-0.5
13,13,0.027291689682548696,stop-words-topk-desired-masking-0.5
14,14,0.028587139356675836,stop-words-topk-desired-masking-0.5
15,15,0.030077471673652913,stop-words-topk-desired-masking-0.5
16,16,0.031974086292739456,stop-words-topk-desired-masking-0.5
17,17,0.0338119428923979,stop-words-topk-desired-masking-0.5
18,18,0.03546277073677713,stop-words-topk-desired-masking-0.5
19,19,0.03692049528163406,stop-words-topk-desired-masking-0.5
20,20,0.03821305597057046,stop-words-topk-desired-masking-0.5
21,21,0.039396943293531085,stop-words-topk-desired-masking-0.5
22,22,0.04042246945544808,stop-words-topk-desired-masking-0.5
23,23,0.04161243528217134,stop-words-topk-desired-masking-0.5
24,24,0.04274408005904597,stop-words-topk-desired-masking-0.5
25,25,0.043867071577224706,stop-words-topk-desired-masking-0.5
26,26,0.04490412195977057,stop-words-topk-desired-masking-0.5
27,27,0.04608074438332549,stop-words-topk-desired-masking-0.5
28,28,0.04720394631165003,stop-words-topk-desired-masking-0.5
29,29,0.04826701729358952,stop-words-topk-desired-masking-0.5
30,30,0.04932737599942043,stop-words-topk-desired-masking-0.5
