,# of features removed,AOPC-global,percents-remove
3,3,0.01390988901238675,5
4,4,0.017599657051948502,5
5,5,0.02141228313944023,5
6,6,0.024703868471556846,5
7,7,0.027505684539579002,5
8,8,0.030649160298574587,5
9,9,0.03362722395569468,5
10,10,0.041140566327484834,5
11,11,0.04762073370564631,5
12,12,0.05339447017680827,5
13,13,0.0606982158497873,5
14,14,0.06725183341440309,5
15,15,0.07408643551762716,5
16,16,0.08211430218308646,5
17,17,0.08925018366349474,5
18,18,0.09563491972491268,5
19,19,0.10138118218018881,5
20,20,0.10658018154448627,5
21,21,0.11130654460293851,5
22,22,0.11562191956935142,5
23,23,0.11957767995522993,5
24,24,0.12321697951023815,5
25,25,0.12657633294563037,5
26,26,0.12968684538580832,5
27,27,0.13257517836597357,5
28,28,0.1352643159681964,5
29,29,0.13777417773027104,5
30,30,0.1401221129270505,5
