,# of features removed,AOPC-global,optimization
22,22,0.1757663767745106,masking-0.1
23,23,0.18091616019820422,masking-0.1
24,24,0.18577342030857907,masking-0.1
25,25,0.19043575916668273,masking-0.1
26,26,0.19522427202349774,masking-0.1
27,27,0.19988598687898676,masking-0.1
28,28,0.20431810128069985,masking-0.1
29,29,0.20859060250676936,masking-0.1
30,30,0.21264444971995178,masking-0.1
0,0,0.0,topk-masking-0.1
1,1,0.004330114223469936,topk-masking-0.1
2,2,0.024167295537175598,topk-masking-0.1
3,3,0.04215920782997822,topk-masking-0.1
4,4,0.05632838390187302,topk-masking-0.1
5,5,0.06765823788894015,topk-masking-0.1
6,6,0.07817057566004039,topk-masking-0.1
7,7,0.08794528565341914,topk-masking-0.1
8,8,0.0977502379307835,topk-masking-0.1
9,9,0.10592975672472593,topk-masking-0.1
10,10,0.11342435976985814,topk-masking-0.1
11,11,0.12031815088585156,topk-masking-0.1
12,12,0.12648295905834078,topk-masking-0.1
13,13,0.13216660482979045,topk-masking-0.1
14,14,0.13753765912399543,topk-masking-0.1
15,15,0.14248595456188465,topk-masking-0.1
16,16,0.14881491032152905,topk-masking-0.1
17,17,0.15494514179700414,topk-masking-0.1
18,18,0.1607586860420875,topk-masking-0.1
19,19,0.1666272411388719,topk-masking-0.1
20,20,0.17254141405468465,topk-masking-0.1
21,21,0.17811983506555376,topk-masking-0.1
22,22,0.18356616345129012,topk-masking-0.1
23,23,0.18866967349452668,topk-masking-0.1
24,24,0.19349667295356376,topk-masking-0.1
25,25,0.19819419050902093,topk-masking-0.1
26,26,0.20271429945168992,topk-masking-0.1
27,27,0.20697463850173653,topk-masking-0.1
28,28,0.2111013875366661,topk-masking-0.1
29,29,0.21508888108707097,topk-masking-0.1
30,30,0.21891545518307606,topk-masking-0.1
0,0,0.0,topk-masking-0.5
1,1,0.027590714858823525,topk-masking-0.5
2,2,0.03967436262741133,topk-masking-0.5
3,3,0.05378950814765502,topk-masking-0.5
4,4,0.06564601435227443,topk-masking-0.5
5,5,0.07543408842782463,topk-masking-0.5
6,6,0.08483559040765566,topk-masking-0.5
7,7,0.0937771735575825,topk-masking-0.5
8,8,0.10293413829003982,topk-masking-0.5
9,9,0.1111677975164298,topk-masking-0.5
10,10,0.11844361037951519,topk-masking-0.5
11,11,0.12546836147763593,topk-masking-0.5
12,12,0.13239140513944478,topk-masking-0.5
13,13,0.1389892358943063,topk-masking-0.5
14,14,0.14687291877459382,topk-masking-0.5
15,15,0.15433365383928604,topk-masking-0.5
16,16,0.16115065341915316,topk-masking-0.5
17,17,0.16739662914128553,topk-masking-0.5
18,18,0.17329741827899006,topk-masking-0.5
19,19,0.1788877956394454,topk-masking-0.5
20,20,0.18429539940635958,topk-masking-0.5
21,21,0.18940734846566484,topk-masking-0.5
22,22,0.1944277676782342,topk-masking-0.5
23,23,0.19928093035961036,topk-masking-0.5
24,24,0.20385244068853553,topk-masking-0.5
25,25,0.20824313498919206,topk-masking-0.5
26,26,0.21248068777356657,topk-masking-0.5
27,27,0.21658002259354417,topk-masking-0.5
28,28,0.22060477992769942,topk-masking-0.5
29,29,0.2244201110413323,topk-masking-0.5
30,30,0.2281207702616378,topk-masking-0.5
