,time (minutes),AOPC-global,optimization
4,0.6694431553098199,0.12405034038492413,topk-masking-0.5
5,0.803331786371784,0.12405034038492413,topk-masking-0.5
6,0.9372204174337481,0.12405034038492413,topk-masking-0.5
7,1.071109048495712,0.12405034038492413,topk-masking-0.5
8,1.204997679557676,0.11977996900359172,topk-masking-0.5
9,1.3388863106196398,0.11597130905754552,topk-masking-0.5
10,1.472774941681604,0.11612121487194299,topk-masking-0.5
11,1.606663572743568,0.11548413949238095,topk-masking-0.5
12,1.740552203805532,0.11546721465818645,topk-masking-0.5
13,1.8744408348674961,0.11546721465818645,topk-masking-0.5
14,2.00832946592946,0.11548093751027,topk-masking-0.5
15,2.142218096991424,0.11546721465818645,topk-masking-0.5
16,2.2761067280533878,0.11546721465818645,topk-masking-0.5
17,2.409995359115352,0.11546721465818645,topk-masking-0.5
18,2.5438839901773163,0.11564740772565155,topk-masking-0.5
19,2.6777726212392796,0.11546721465818645,topk-masking-0.5
0,0.24646502261415715,0.10630894776770565,topk-desired-masking-0.1
1,0.4929300452283143,0.11233033379202212,topk-desired-masking-0.1
2,0.7393950678424714,0.10898692025843311,topk-desired-masking-0.1
3,0.9858600904566286,0.10777622442558231,topk-desired-masking-0.1
4,1.2323251130707857,0.10943653897580083,topk-desired-masking-0.1
5,1.4787901356849429,0.1077597370103848,topk-desired-masking-0.1
6,1.7252551582991,0.1077597370103848,topk-desired-masking-0.1
7,1.9717201809132572,0.11023201046171541,topk-desired-masking-0.1
8,2.2181852035274146,0.10680729439752787,topk-desired-masking-0.1
9,2.4646502261415715,0.10689803947546889,topk-desired-masking-0.1
10,2.7111152487557284,0.10702625331212981,topk-desired-masking-0.1
11,2.9575802713698858,0.10702625331212981,topk-desired-masking-0.1
12,3.204045293984043,0.10702625331212981,topk-desired-masking-0.1
13,3.4505103165982,0.10308964016206199,topk-desired-masking-0.1
14,3.6969753392123574,0.10308964016206199,topk-desired-masking-0.1
15,3.9434403618265144,0.10702625331212981,topk-desired-masking-0.1
16,4.189905384440672,0.10702625331212981,topk-desired-masking-0.1
17,4.436370407054829,0.10702625331212981,topk-desired-masking-0.1
18,4.6828354296689865,0.10702625331212981,topk-desired-masking-0.1
19,4.929300452283143,0.10702625331212981,topk-desired-masking-0.1
0,0.12931547331427168,0.10332014061576258,topk-desired-masking-0.5
1,0.25863094662854336,0.12449044900107956,topk-desired-masking-0.5
2,0.38794641994281504,0.11796160595546037,topk-desired-masking-0.5
3,0.5172618932570867,0.11972872422029074,topk-desired-masking-0.5
4,0.6465773665713584,0.11977996900359172,topk-desired-masking-0.5
5,0.7758928398856301,0.11999282558703817,topk-desired-masking-0.5
6,0.9052083131999018,0.11195664116790728,topk-desired-masking-0.5
7,1.0345237865141734,0.11606300235790715,topk-desired-masking-0.5
8,1.1638392598284453,0.11611422921043382,topk-desired-masking-0.5
9,1.293154733142717,0.11611422921043382,topk-desired-masking-0.5
10,1.4224702064569885,0.11611422921043382,topk-desired-masking-0.5
11,1.5517856797712601,0.11309152659796484,topk-desired-masking-0.5
12,1.681101153085532,0.11226809131485442,topk-desired-masking-0.5
13,1.8104166263998036,0.11234864481664877,topk-desired-masking-0.5
14,1.9397320997140752,0.10832949989059935,topk-desired-masking-0.5
15,2.069047573028347,0.10833670972873811,topk-desired-masking-0.5
16,2.1983630463426187,0.10833670972873811,topk-desired-masking-0.5
17,2.3276785196568905,0.10834578603055511,topk-desired-masking-0.5
18,2.456993992971162,0.10833670972873811,topk-desired-masking-0.5
19,2.586309466285434,0.10833670972873811,topk-desired-masking-0.5
0,0.7667700861227496,0.11504862907522766,0.1
1,1.533540172245499,0.12319195796986115,0.1
2,2.3003102583682487,0.12260910268124478,0.1
3,3.067080344490998,0.12106519387730956,0.1
4,3.833850430613748,0.12178598978286792,0.1
5,4.600620516736497,0.12337526834646384,0.1
6,5.367390602859248,0.12208105043367475,0.1
7,6.134160688981996,0.12101793110588906,0.1
8,6.900930775104747,0.12418359878944961,0.1
9,7.667700861227496,0.12139180527761655,0.1
10,8.434470947350245,0.12398499861120144,0.1
11,9.201241033472995,0.12139180527761655,0.1
12,9.968011119595745,0.12378669739809564,0.1
13,10.734781205718496,0.12378669739809564,0.1
14,11.501551291841245,0.12599175500578783,0.1
15,12.268321377963993,0.12378669739809564,0.1
16,13.035091464086745,0.12496582745652163,0.1
17,13.801861550209495,0.124686353359441,0.1
18,14.568631636332244,0.123680547033822,0.1
19,15.335401722454993,0.123680547033822,0.1
0,0.24343303092783963,0.10201659181428539,0.5
1,0.48686606185567927,0.11511035334372266,0.5
2,0.7302990927835189,0.11167606409119861,0.5
3,0.9737321237113585,0.13938483692685757,0.5
4,1.2171651546391982,0.13714434577979318,0.5
5,1.4605981855670378,0.13695157191337307,0.5
6,1.7040312164948772,0.1363371745047159,0.5
7,1.947464247422717,0.13141772379386468,0.5
8,2.1908972783505565,0.1313704666054696,0.5
9,2.4343303092783963,0.13284606402972235,0.5
10,2.677763340206236,0.13562602204157864,0.5
11,2.9211963711340756,0.13715354366251006,0.5
12,3.1646294020619155,0.13715354366251006,0.5
13,3.4080624329897544,0.13347008141265942,0.5
14,3.6514954639175943,0.13347008141265942,0.5
15,3.894928494845434,0.13353548938442253,0.5
16,4.1383615257732735,0.13353548938442253,0.5
17,4.381794556701113,0.12911891015340607,0.5
18,4.625227587628953,0.12911891015340607,0.5
19,4.868660618556793,0.12949540511085933,0.5
0,0.47590431940098205,0.12056162135118652,topk-0.1
1,0.9518086388019641,0.12191311833152031,topk-0.1
2,1.4277129582029462,0.12539745625504034,topk-0.1
3,1.9036172776039282,0.11987241021677764,topk-0.1
4,2.3795215970049104,0.12036158264252621,topk-0.1
5,2.8554259164058924,0.12404326965816011,topk-0.1
6,3.3313302358068744,0.12728349195372646,topk-0.1
7,3.8072345552078564,0.12728349195372646,topk-0.1
8,4.283138874608839,0.12547693219801548,topk-0.1
9,4.759043194009821,0.1244943957667982,topk-0.1
10,5.234947513410803,0.12805571520001385,topk-0.1
11,5.710851832811785,0.12254397216371771,topk-0.1
12,6.186756152212768,0.12568901119411138,topk-0.1
13,6.662660471613749,0.12319648271550453,topk-0.1
14,7.138564791014732,0.12285181721878696,topk-0.1
15,7.614469110415713,0.12285181721878696,topk-0.1
16,8.090373429816696,0.12285181721878696,topk-0.1
17,8.566277749217678,0.11927226547092117,topk-0.1
18,9.04218206861866,0.12285181721878696,topk-0.1
19,9.518086388019642,0.12285181721878696,topk-0.1
0,0.1675325886786743,0.1347795659306803,topk-0.5
1,0.3350651773573486,0.1406344421343022,topk-0.5
2,0.5025977660360229,0.14037897649028835,topk-0.5
3,0.6701303547146972,0.13922484457776857,topk-0.5
4,0.8376629433933716,0.13573549643518074,topk-0.5
5,1.0051955320720458,0.1360641257278686,topk-0.5
6,1.17272812075072,0.13182817800996854,topk-0.5
7,1.3402607094293943,0.13273102594468658,topk-0.5
8,1.5077932981080686,0.1326456453083805,topk-0.5
9,1.675325886786743,0.1326456453083805,topk-0.5
10,1.8428584754654174,0.13613514996541423,topk-0.5
11,2.0103910641440916,0.1328773257723987,topk-0.5
12,2.177923652822766,0.1293909502850397,topk-0.5
13,2.34545624150144,0.1240908450142398,topk-0.5
14,2.5129888301801144,0.12949540511085933,topk-0.5
15,2.6805214188587887,0.12949540511085933,topk-0.5
16,2.848054007537463,0.12516979795415153,topk-0.5
17,3.0155865962161372,0.12516979795415153,topk-0.5
18,3.183119184894812,0.12520395950594493,topk-0.5
19,3.350651773573486,0.12520395950594493,topk-0.5
0,0.35036025745891985,0.1156855820569414,desired-0.1
1,0.7007205149178397,0.12159798337516779,desired-0.1
2,1.0510807723767597,0.12332734090593138,desired-0.1
3,1.4014410298356794,0.1183147991210859,desired-0.1
4,1.7518012872945992,0.12714408264711302,desired-0.1
5,2.1021615447535194,0.12195159817190958,desired-0.1
6,2.452521802212439,0.12588607237255656,desired-0.1
7,2.802882059671359,0.12383641274434909,desired-0.1
8,3.1532423171302786,0.12592323927303653,desired-0.1
9,3.5036025745891983,0.12529720350660722,desired-0.1
10,3.853962832048118,0.12529720350660722,desired-0.1
11,4.204323089507039,0.12659460259646582,desired-0.1
12,4.554683346965958,0.12659460259646582,desired-0.1
13,4.905043604424878,0.12841880239925804,desired-0.1
14,5.2554038618837975,0.12841880239925804,desired-0.1
15,5.605764119342718,0.12841880239925804,desired-0.1
