,# of features removed,AOPC-global,percents-remove
6,6,0.030946448922824905,50
7,7,0.033707855375607304,50
8,8,0.03655314928016244,50
9,9,0.03950057287433961,50
10,10,0.04254662385239018,50
11,11,0.045433275679103914,50
12,12,0.04817344306064664,50
13,13,0.050581858589040345,50
14,14,0.05294637825242881,50
15,15,0.05533656047345332,50
16,16,0.05725058913052267,50
17,17,0.059177173787035985,50
18,18,0.06109917367427,50
19,19,0.06287144834231616,50
20,20,0.06463984884338599,50
21,21,0.06641087021280342,50
22,22,0.06819875179243919,50
23,23,0.06982519509304445,50
24,24,0.07134439552179193,50
25,25,0.072706114593644,50
26,26,0.07403054716129727,50
27,27,0.07542699783128981,50
28,28,0.07682919219195745,50
29,29,0.07811362640853585,50
30,30,0.07939876186802447,50
