,# of features removed,AOPC-global,percent
6,6,0.027227275725883245,10
7,7,0.029046281384378585,10
8,8,0.03045862369563394,10
9,9,0.031704006309578286,10
10,10,0.03282796084175594,10
11,11,0.034058433761108904,10
12,12,0.035236619402806035,10
13,13,0.03694582921688355,10
14,14,0.03854112283664154,10
15,15,0.040030237946491666,10
16,16,0.04141988533717683,10
17,17,0.042715400124210344,10
18,18,0.04392947583321524,10
19,19,0.04511570978378349,10
20,20,0.046256730290136966,10
21,21,0.04732376060477562,10
22,22,0.04833038604429128,10
23,23,0.049277929785234875,10
24,24,0.05017442513845511,10
25,25,0.05104257370760146,10
26,26,0.05187461204285801,10
27,27,0.0526672766928944,10
28,28,0.05342622531233239,10
29,29,0.05413346646861444,10
30,30,0.05479509959081833,10
