,# of features removed,AOPC-global,optimization
5,5,0.0256431339768976,topk-0.5
6,6,0.02927141698007722,topk-0.5
7,7,0.03222774121682685,topk-0.5
8,8,0.03507902000889684,topk-0.5
9,9,0.037454281258035724,topk-0.5
10,10,0.039467985162200694,topk-0.5
11,11,0.041164717144641774,topk-0.5
12,12,0.04267666782752398,topk-0.5
13,13,0.04403899261747311,topk-0.5
14,14,0.04531048343692256,topk-0.5
15,15,0.04657296601415626,topk-0.5
16,16,0.04780162035045767,topk-0.5
17,17,0.0489779147585496,topk-0.5
18,18,0.05014814180510275,topk-0.5
19,19,0.051256579379788156,topk-0.5
20,20,0.052364309691353764,topk-0.5
0,0,0.0,desired-0.1
1,1,0.008013254980915608,desired-0.1
2,2,0.012867602608066778,desired-0.1
3,3,0.01660659206470251,desired-0.1
4,4,0.020558528321676678,desired-0.1
5,5,0.02375015554089153,desired-0.1
6,6,0.02611043946368649,desired-0.1
7,7,0.027972237621436708,desired-0.1
8,8,0.02950010563763668,desired-0.1
9,9,0.031886768053951235,desired-0.1
10,10,0.033963881897744366,desired-0.1
11,11,0.0358017388907469,desired-0.1
12,12,0.03753921299660472,desired-0.1
13,13,0.0390773529442353,desired-0.1
14,14,0.040441621215879846,desired-0.1
15,15,0.04176364136074473,desired-0.1
16,16,0.04303310993811653,desired-0.1
17,17,0.04422593867923265,desired-0.1
18,18,0.04533528999308088,desired-0.1
19,19,0.046382239488494306,desired-0.1
20,20,0.047344625829200765,desired-0.1
0,0,0.0,desired-0.5
1,1,0.008013254980915608,desired-0.5
2,2,0.013061866925208823,desired-0.5
3,3,0.017494755323035058,desired-0.5
4,4,0.021269058928342716,desired-0.5
5,5,0.0256431339768976,desired-0.5
6,6,0.02927141698007722,desired-0.5
7,7,0.03207419415542395,desired-0.5
8,8,0.03448016034519431,desired-0.5
9,9,0.036499878400128964,desired-0.5
10,10,0.03822197436933599,desired-0.5
11,11,0.04008537779704758,desired-0.5
12,12,0.041791975715221225,desired-0.5
13,13,0.04336063807652043,desired-0.5
14,14,0.04473672729024465,desired-0.5
15,15,0.04603083689611013,desired-0.5
16,16,0.04723143729531761,desired-0.5
17,17,0.04843940853980622,desired-0.5
18,18,0.04957768839407844,desired-0.5
19,19,0.05067426414978353,desired-0.5
20,20,0.05177835230694844,desired-0.5
0,0,0.0,masking-0.1
1,1,0.008013254980915608,masking-0.1
2,2,0.013061866925208823,masking-0.1
3,3,0.017494755323035058,masking-0.1
4,4,0.021269058928342716,masking-0.1
5,5,0.0256431339768976,masking-0.1
6,6,0.02927141698007722,masking-0.1
7,7,0.03222774121682685,masking-0.1
8,8,0.03461664662199689,masking-0.1
9,9,0.03662271604925128,masking-0.1
10,10,0.03833364495944719,masking-0.1
11,11,0.039953822998255596,masking-0.1
12,12,0.04172670919912472,masking-0.1
13,13,0.04338307642137612,masking-0.1
14,14,0.044941509989416664,masking-0.1
15,15,0.046364471406294495,masking-0.1
16,16,0.047638476992308665,masking-0.1
17,17,0.04886063102254843,masking-0.1
18,18,0.050037030897312165,masking-0.1
19,19,0.0511510240173871,masking-0.1
20,20,0.05222674378300602,masking-0.1
0,0,0.0,masking-0.5
1,1,0.008013254980915608,masking-0.5
2,2,0.013061866925208823,masking-0.5
3,3,0.017494755323035058,masking-0.5
4,4,0.022315367509573237,masking-0.5
5,5,0.026515057794589698,masking-0.5
6,6,0.02976655655524688,masking-0.5
7,7,0.032660988345100304,masking-0.5
8,8,0.03546412856736213,masking-0.5
9,9,0.03794759485843452,masking-0.5
10,10,0.04006500990467394,masking-0.5
11,11,0.04191168082317248,masking-0.5
12,12,0.043537337606493406,masking-0.5
13,13,0.04499199757163487,masking-0.5
14,14,0.04638294729490589,masking-0.5
15,15,0.04761945027407211,masking-0.5
16,16,0.04879198708322923,masking-0.5
17,17,0.0499128964545556,masking-0.5
18,18,0.051022602391833184,masking-0.5
19,19,0.0520417248587021,masking-0.5
20,20,0.05304243632288482,masking-0.5
0,0,0.0,topk-desired-masking-0.1
1,1,0.008013254980915608,topk-desired-masking-0.1
2,2,0.013061866925208823,topk-desired-masking-0.1
3,3,0.017494755323035058,topk-desired-masking-0.1
4,4,0.022315367509573237,topk-desired-masking-0.1
5,5,0.026515057794589698,topk-desired-masking-0.1
6,6,0.030018780252384736,topk-desired-masking-0.1
7,7,0.032881684080095924,topk-desired-masking-0.1
8,8,0.035197929167124956,topk-desired-masking-0.1
9,9,0.03714587033986654,topk-desired-masking-0.1
10,10,0.0388135006423418,topk-desired-masking-0.1
