# of features removed,AOPC-global,percent
8,0.0340505798192987,75
9,0.0360414738568722,75
10,0.0378511407989182,75
11,0.0394897863801491,75
12,0.0409435645252837,75
13,0.0422452997339771,75
14,0.0433923040853862,75
15,0.0444567176944757,75
16,0.0455209456388068,75
17,0.0465637467989221,75
18,0.0475465204854484,75
19,0.0484547883544553,75
20,0.049540204021463,75
21,0.0505933470400356,75
22,0.051621966823695,75
23,0.0526160677324541,75
24,0.0536414175982962,75
25,0.0546744201966568,75
26,0.0556790080806217,75
27,0.0566773339012294,75
28,0.0576301184757926,75
29,0.0585555720813305,75
30,0.0594412785983349,75
